Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Houston Rockets,44,10735,1790,3886,0.461,541,1560,0.347,1249,2326,0.537,742,981,0.756,494,1220,1714,1080,396,208,594,923,4863
2,Detroit Pistons,45,10850,1692,3823,0.443,562,1616,0.348,1130,2207,0.512,1005,1269,0.792,520,1339,1859,1029,426,261,781,992,4951
3,Boston Celtics,46,11090,1783,3991,0.447,657,1812,0.363,1126,2179,0.517,834,1052,0.793,527,1418,1945,1179,269,201,629,864,5057
4,Memphis Grizzlies,44,10610,1858,4023,0.462,630,1764,0.357,1228,2259,0.544,777,987,0.787,517,1472,1989,1187,386,225,644,905,5123
5,Oklahoma City Thunder,48,11645,1819,4227,0.43,686,1854,0.37,1133,2373,0.477,843,1119,0.753,583,1607,2190,1193,353,197,831,1023,5167
6,San Antonio Spurs,46,11065,1895,4134,0.458,608,1692,0.359,1287,2442,0.527,771,991,0.778,477,1507,1984,1215,349,205,629,974,5169
7,Brooklyn Nets,45,10875,1900,3868,0.491,570,1496,0.381,1330,2372,0.561,799,1010,0.791,466,1482,1948,1242,389,219,629,896,5169
8,Los Angeles Clippers,46,11115,1885,4038,0.467,618,1702,0.363,1267,2336,0.542,800,998,0.802,534,1401,1935,1204,419,220,630,909,5188
9,Orlando Magic,45,10875,1891,3937,0.48,544,1486,0.366,1347,2451,0.55,868,1111,0.781,481,1463,1944,1140,351,249,675,999,5194
10,New York Knicks,46,11040,1847,3981,0.464,655,1778,0.368,1192,2203,0.541,853,1096,0.778,468,1444,1912,1142,331,210,645,899,5202
11,Milwaukee Bucks,45,10850,1856,3958,0.469,636,1721,0.37,1220,2237,0.545,871,1123,0.776,493,1518,2011,1224,375,179,612,843,5219
12,Los Angeles Lakers,45,10800,1911,3937,0.485,612,1650,0.371,1299,2287,0.568,798,1007,0.792,478,1350,1828,1234,397,164,659,978,5232
13,Phoenix Suns,47,11305,1884,4029,0.468,575,1648,0.349,1309,2381,0.55,900,1145,0.786,569,1476,2045,1159,392,206,798,914,5243
14,Philadelphia 76ers,46,11240,1939,4151,0.467,589,1678,0.351,1350,2473,0.546,865,1115,0.776,556,1520,2076,1278,338,235,715,944,5332
15,Dallas Mavericks,46,11165,1995,4314,0.462,543,1642,0.331,1452,2672,0.543,828,1064,0.778,571,1589,2160,1226,417,226,631,971,5361
16,Toronto Raptors,48,11620,1907,4131,0.462,607,1778,0.341,1300,2353,0.552,952,1187,0.802,531,1554,2085,1170,381,257,755,933,5373
17,Minnesota Timberwolves,47,11355,1945,4235,0.459,588,1661,0.354,1357,2574,0.527,896,1155,0.776,522,1507,2029,1222,385,183,702,996,5374
18,Charlotte Hornets,47,11355,2003,4217,0.475,626,1702,0.368,1377,2515,0.548,773,965,0.801,492,1377,1869,1289,396,206,598,983,5405
19,Golden State Warriors,48,11570,2001,4260,0.47,605,1716,0.353,1396,2544,0.549,837,1053,0.795,553,1601,2154,1270,396,200,774,919,5444
20,Denver Nuggets,47,11380,1996,4262,0.468,607,1747,0.347,1389,2515,0.552,854,1110,0.769,560,1472,2032,1257,357,218,568,994,5453
21,Chicago Bulls,46,11090,2029,4277,0.474,634,1720,0.369,1395,2557,0.546,824,1055,0.781,502,1552,2054,1274,391,253,570,858,5516
22,Washington Wizards,45,10850,1987,4196,0.474,629,1731,0.363,1358,2465,0.551,924,1167,0.792,609,1544,2153,1284,437,252,603,779,5527
23,Miami Heat,47,11305,2026,4388,0.462,649,1871,0.347,1377,2517,0.547,847,1046,0.81,568,1660,2228,1272,392,254,746,958,5548
24,Indiana Pacers,47,11330,2015,4168,0.483,538,1570,0.343,1477,2598,0.569,1001,1303,0.768,522,1691,2213,1186,357,222,665,984,5569
25,Cleveland Cavaliers,48,11570,1990,4303,0.462,670,1782,0.376,1320,2521,0.524,942,1174,0.802,552,1576,2128,1293,419,214,747,979,5592
26,Portland Trail Blazers,48,11570,2038,4332,0.47,604,1723,0.351,1434,2609,0.55,957,1198,0.799,587,1504,2091,1286,512,305,733,1071,5637
27,Atlanta Hawks,48,11570,2064,4332,0.476,639,1797,0.356,1425,2535,0.562,929,1163,0.799,548,1671,2219,1326,437,233,766,885,5696
28,Sacramento Kings,48,11595,2119,4318,0.491,610,1721,0.354,1509,2597,0.581,950,1215,0.782,576,1614,2190,1314,421,231,690,897,5798
29,New Orleans Pelicans,49,11860,2153,4462,0.483,724,2016,0.359,1429,2446,0.584,908,1164,0.78,601,1624,2225,1407,385,299,730,1005,5938
30,Utah Jazz,47,11430,2137,4341,0.492,745,1971,0.378,1392,2370,0.587,975,1248,0.781,550,1571,2121,1442,432,280,630,987,5994
,League Average,46,11224,1945,4151,0.469,617,1720,0.359,1328,2430,0.547,871,1109,0.785,534,1511,2044,1234,390,227,679,942,5378